MAPINFO_ID	ID_VEICULO	ID_ACIDENT	TIPO_VEICU	SEXO_CONDU	IDADE_COND	CATEGORIA_	USA_CINTO_	EST_ALCOOL	ESCOLARIDA
1673	01	D011501048	AU	M	53	SI	X	BR	3
1674	02	D011501048	AU	M	21	SI	X	BR	3
1675	01	D011501051	AU	X	SI	SI	X	BR	8
1676	02	D011501051	AU	M	19	SI	X	BR	6
1677	01	D011501052	CM	M	51	SI	X	BR	3
1678	01	D011501042	CM	F	64	SI	X	BR	8
1679	02	D011501042	MO	M	21	SI	X	BR	8
1680	01	D011501053	AU	X	SI	SI	X	BR	8
1681	02	D011501053	MO	M	31	SI	X	BR	5
1682	01	D011501054	AU	M	27	SI	X	BR	5
1683	02	D011501054	AU	F	38	SI	X	BR	7
1684	01	D011501055	CM	M	SI	SI	X	BR	8
1685	02	D011501055	MO	M	23	SI	X	BR	5
1686	01	D011501056	AU	X	SI	SI	X	BR	8
1687	02	D011501056	MO	M	26	SI	X	BR	8
