x,y,id_acident,cadloga,cadlogb,alt_num,referencia,data,hora,cod_acid,fonte,viatura,dp,talao,sentido,pista,veiculos,vitimas,princ_a,princ_b,tipo_acide,mi_prinx
-46.790865,-23.647674,D011600114,29896,,1594,,2016/01/06 00:00:00.000,857,2,D,,47,155,,,2000000000000000,300,29896,,CF,312320
-46.392853,-23.539781,D011600115,16607,78899,,,2016/01/23 00:00:00.000,1830,4,D,,68,34,,,1000000000000000,100,78899,16607,AT,312321
-46.391126,-23.499399,D011600116,47464,,1,,2016/01/02 00:00:00.000,1742,2,D,,50,65,,,1000000000000000,100,47464,,CH,312322
-46.552649,-23.508854,D011600117,6371,,100,,2016/01/26 00:00:00.000,1000,2,D,,81,275,,,2000000000000000,100,29772,,CO,312323
-46.704534,-23.572116,D011600118,19817,7500,,,2016/01/28 00:00:00.000,1725,4,D,,51,846,,,10000000000000000,100,7500,10674,AT,312324
-46.545479,-23.536866,D011600119,18473,,322,,2016/01/30 00:00:00.000,1444,4,D,,21,973,,,100000,100,18473,,AT,312325
-46.663099,-23.555216,D011600120,15656,,2584,,2016/01/20 00:00:00.000,1141,2,D,,78,547,,,101000000000000,100,15656,,CO,312326
-46.59398,-23.54472,D011600121,543,,3330,,2016/01/19 00:00:00.000,535,4,D,,8,453,,,1000000000000000,100,543,,AT,312327
-46.495168,-23.613431,D011600122,74036,,,CLENIO WANDERLE,2016/01/10 00:00:00.000,100,2,D,,69,294,,,11000000000000000,200,74036,,CL,312328
-46.576938,-23.439904,D011600123,40418,,62,,2016/01/16 00:00:00.000,2100,2,D,,73,2067,,,1000000000000000,100,40418,,QM,312329
-46.635132,-23.465293,D011600124,9170,,1683,,2016/01/03 00:00:00.000,2113,2,D,,38,107,,,20000000000000000,400,9170,,CO,312330
-46.670394,-23.743961,D011600125,5138,,357,,2016/01/19 00:00:00.000,1147,2,D,,101,624,,,11000000000000000,100,5138,,CO,312331
-46.67737,-23.468558,D011600126,15425,,973,,2016/01/23 00:00:00.000,610,4,D,,72,658,,,1000000000000000,100,15425,,AT,312332
-46.705224,-23.460138,D011600127,98338,,,"DOMINGOS VEGA,1",2016/01/03 00:00:00.000,1940,2,D,,45,656,,,1000000000000000,100,98338,,QM,312333
-46.626135,-23.512744,D011600128,27416,,100,,2016/01/07 00:00:00.000,754,2,D,,13,155,,,1000000000000000,100,27416,,QM,312334
-46.73289,-23.665836,D011600129,8502,98361,,,2016/01/16 00:00:00.000,1810,2,D,,92,532,,,11000000000000000,1,8502,98361,CV,312335
-46.658164,-23.661682,D011600130,6146,,133,,2016/01/31 00:00:00.000,1900,2,D,,35,428,,,1000000000000000,1,6146,,CH,312336
-46.669786,-23.648815,D011600131,34128,6443,,,2016/01/16 00:00:00.000,0,2,D,,43,788,,,20000000000000000,100,6443,34128,CO,312337
-46.696251,-23.559413,D011600132,6897,16017,,,2016/01/08 00:00:00.000,1900,2,D,,14,206,,,11000000000100000,100,6897,16017,CO,312338
-46.596913,-23.595169,D011600133,11379,5972,,,2016/01/16 00:00:00.000,1730,2,D,,95,514,,,11000000000000000,100,5972,11379,CT,312339
-46.616496,-23.485708,D011600134,14767,835,,,2016/01/25 00:00:00.000,100,2,D,,20,877,C,,20000000000000000,300,835,14767,CO,312340
-46.604594,-23.559639,D011600135,3879,10135,,,2016/01/07 00:00:00.000,805,2,D,,18,10,,,10010000000000000,100,3879,10135,CO,312341
-46.652345,-23.487603,D011600136,9078,,2200,,2016/01/22 00:00:00.000,1500,4,D,,38,760,,,1000000000000000,100,9078,,AT,312342
-46.640897,-23.567054,D011600137,19764,,100,,2016/01/13 00:00:00.000,2156,4,D,,3,328,,,10,100,19764,,AT,312343
-46.576706,-23.49018,D011600138,4077,8538,,,2016/01/31 00:00:00.000,2223,2,D,,90,1114,,,20100000000000000,100,4077,8538,CO,312344
-46.670158,-23.653985,D011600139,5606,,,ANGELO CRISTIAN,2016/01/16 00:00:00.000,650,2,D,,98,381,,,20000000000000000,100,5606,,CL,312345
-46.573847,-23.559407,D011600140,1220,6932,,,2016/01/25 00:00:00.000,6,2,D,,29,378,C,,10000000000000000,100,1220,6932,CL,312346
-46.629213,-23.547479,D011600141,6642,,6339,,2016/01/15 00:00:00.000,600,2,D,,8,345,,,11000000000000000,100,6642,,CL,312347
-46.762511,-23.677886,D011600142,12403,,3250,,2016/01/31 00:00:00.000,850,4,D,,92,1058,,,100000,100,12403,,AT,312348
-46.733813,-23.411238,D011600143,16838,,14000,,2016/01/26 00:00:00.000,1730,2,D,,87,562,,,11000000000000000,200,16838,,CO,312349
-46.731288,-23.667557,D011600144,8367,,1800,,2016/01/05 00:00:00.000,1700,4,D,,92,5436,,,100000000000000,100,8367,,AT,312350
-46.397978,-23.501448,D011600145,15551,,500,,2016/01/21 00:00:00.000,2300,2,D,,50,6858,,,11000000000000000,100,15551,,CO,312351
-46.588446,-23.449759,D011600146,40497,,584,,2016/01/09 00:00:00.000,600,2,D,,73,450,,,1000000000000000,200,40497,,CH,312352
-46.647429,-23.537719,D011600147,1162,,96,,2016/01/19 00:00:00.000,1448,4,D,,77,210,,,10,100,1162,,AT,312353
-46.706454,-23.654294,D011600148,998,,100,,2016/01/09 00:00:00.000,1450,2,D,,11,277,,,11000000000000000,100,998,,CO,312354
-46.677998,-23.620615,D011600149,10918,,3028,,2016/01/08 00:00:00.000,612,2,D,,27,164,C,,1000000000000000,100,10918,,CH,312355
-46.690811,-23.514266,D011600150,13605,,1645,,2016/01/28 00:00:00.000,613,4,D,,28,346,,,100000000000000,100,13605,,AT,312356
-46.607334,-23.5510,D011600151,543,,1750,,2016/01/30 00:00:00.000,12,2,D,,8,744,,,41000000000000000,100,543,,CO,312357
-46.6161,-23.44114,D011600152,10945,,1820,,2016/01/24 00:00:00.000,26,2,D,,20,837,,,1000000000000000,400,10945,,CH,312358
-46.659597,-23.651492,D011600153,4596,,1942,,2016/01/08 00:00:00.000,152,2,D,,35,211,,,11000000000000000,100,4596,,CF,312359
-46.743687,-23.672641,D011600154,12403,,1100,,2016/01/07 00:00:00.000,427,4,D,,92,63,,,1000000000000000,100,12403,,AT,312360
-46.75257,-23.645905,D011600155,46544,,200,,2016/01/29 00:00:00.000,2100,4,D,,37,1103,,,100000,100,46544,,AT,312361
-46.634713,-23.563279,D011600156,7733,,858,,2016/01/05 00:00:00.000,750,4,D,,77,75,,,10000000000000000,1,7733,,AT,312362
