id_acidente	id_vitima	id_veiculo	sexo	idade	tipo_vitima	classificacao	tipo_veiculo	estado_alcoolizacao	escolaridade	data
D011400241	002	02	M	34	CD	F	AU	BR	5	          
D011400242	001	01	M	18	CD	F	AU	BR	2	          
D011400243	001	01	M	35	CD	F	MO	BR	2	          
D011400244	001	01	F	84	PD	F	MO	BR	3	          
D011400245	001	02	M	35	CD	F	MO	BR	3	          
D011400246	001	02	M	20	CD	F	MO	BR	3	          
D011400246	002	02	M	17	PS	F	MO	BR	3	          
D011400247	001	02	M	43	CD	F	MO	BR	7	          
D011400248	001	02	M	SI	CD	F	MO	BR	8	          
D011400249	001	02	M	43	CD	F	MO	BR	3	          
D011400249	002	02	M	55	PS	F	MO	BR	3	          
D011400250	001	01	F	28	CD	F	MO	BR	8	          
D011400251	001	01	M	SI	CD	F	BI	BR	8	          
D011400252	001	01	M	31	CD	F	AU	BR	5	          
D011400252	002	01	M	28	PS	F	AU	BR	3	          
D011400253	001	02	M	57	CD	F	MO	BR	3	          
D011400254	001	01	M	33	CD	F	MO	BR	5	          
D011400255	001	01	M	30	CD	F	MO	BR	5	          
D011400256	001	02	M	23	CD	F	MO	BR	3	          
D011400257	001	01	M	36	CD	F	MO	BR	5	          
D011400257	002	02	M	50	CD	F	MO	BR	7	          
D011400258	001	02	M	36	CD	F	MO	BR	3	          
D011400259	001	01	M	41	CD	F	AU	BR	5	          
D011400260	001	01	M	25	CD	F	MO	BR	5	          
D011400261	001	01	F	33	PS	F	AU	BR	7	          
D011400262	001	01	M	32	CD	F	MO	BR	7	          
D011400263	001	02	M	31	CD	F	MO	BR	8	          
D011400264	001	02	X	SI	CD	F	MO	BR	8	          
D011400265	001	02	F	20	CD	F	MO	BR	2	          
D011400266	001	02	M	19	CD	F	MO	BR	5	          
D011400266	002	02	M	40	PS	F	MO	BR	5	          
D011400267	001	01	M	20	PD	F	AU	BR	3	          
D011400268	001	02	M	34	CD	F	MO	BR	3	          
D011400269	001	01	M	24	CD	F	MO	BR	3	          
D011400270	001	01	F	27	CD	F	MO	BR	7	          
D011400271	001	02	F	37	CD	F	MO	BR	3	          
D011400271	002	03	F	26	PS	F	MO	BR	5	          
D011400272	001	02	X	SI	CD	F	MO	BR	8	          
D011400273	001	01	M	54	CD	F	BI	BR	7	          
D011400274	001	01	F	44	PS	F	OU	BR	5	          
D011400275	001	01	M	21	CD	F	MO	BR	5	          
D011400276	001	02	F	22	CD	F	AU	BR	5	          
D011400277	001	01	M	16	PD	F	SI	BR	3	          
D011400278	001	02	M	32	CD	F	MO	BR	5	          
D011400279	001	01	F	52	CD	F	AU	BR	8	          
D011400280	001	02	M	35	CD	F	MO	BR	7	          
D011400281	001	01	M	24	CD	F	MO	BR	5	          
D011400281	002	01	F	26	PD	F	MO	BR	5	          
D011400282	001	02	F	26	CD	F	AU	BR	5	          
D011400283	001	01	M	22	CD	F	MO	BR	3	          
D011400284	001	01	M	54	CD	F	MO	BR	5	          
D011400285	001	01	M	31	PD	F	CA	BR	5	          
D011400286	001	02	M	40	CD	F	MO	BR	8	          
D011400287	001	01	M	40	CD	F	MO	BR	5	          
D011400288	001	01	M	41	CD	F	MO	BR	7	          
D011400289	001	01	M	24	CD	F	MO	BR	8	          
D011400290	001	01	M	21	CD	F	MO	BR	5	          
D011400291	001	01	M	21	CD	F	MO	BR	6	          
D011400292	001	01	M	27	CD	F	MO	BR	3	          
D011400293	001	01	F	54	PD	F	AU	BR	7	          
D011400294	001	02	M	93	PS	F	AU	BR	5	          
D011400295	001	01	M	47	CD	F	AU	BR	3	          
D011400296	001	01	M	41	CD	F	MO	BR	8	          
D011400297	001	01	M	18	CD	F	AU	BR	5	          
D011400297	002	01	F	16	PS	F	AU	BR	8	          
D011400298	001	01	M	32	PD	F	CA	BR	5	          
D011400299	001	01	F	06	PD	F	AU	BR	8	          
D011400300	001	01	F	48	PD	F	AU	BR	7	          
D011400301	001	02	F	18	PS	F	MO	BR	5	          
D011400302	001	01	M	42	PD	F	CM	SA	8	          
D011400303	001	02	M	33	CD	F	BI	BR	3	          
D011400304	001	01	M	27	CD	F	MO	BR	2	          
D011400305	001	01	M	70	CD	F	AU	BR	8	          
D011400305	002	02	M	18	CD	F	MO	BR	3	          
D011400306	001	01	M	36	PD	F	CM	BR	3	          
D011400307	001	02	M	19	PS	F	MO	BR	3	          
D011400308	001	02	M	45	CD	F	MO	BR	2	          
D011400309	001	02	M	34	CD	F	MO	BR	5	          
D011400310	001	02	M	SI	CD	F	MO	BR	8	          
D011400311	001	01	F	23	PD	F	AU	BR	3	          
D011400312	001	02	M	27	CD	F	MO	BR	8	          
D011400313	001	01	F	53	PS	F	ON	BR	7	          
D011400314	001	01	F	51	PD	F	AU	BR	8	          
D011400315	001	02	F	25	PS	F	MO	BR	4	          
D011400316	001	02	M	26	CD	F	MO	BR	8	          
D011400317	001	01	M	31	PS	F	MO	BR	3	          
D011400318	001	02	F	47	CD	F	AU	BR	5	          
D011400319	001	01	F	08	PD	F	MO	BR	1	          
D011400320	001	01	M	18	PD	F	CM	BR	3	          
D011400321	001	01	M	27	CD	F	AU	BR	5	          
D011400322	001	01	F	28	CD	F	MO	BR	5	          
D011400323	001	02	M	25	CD	F	MO	BR	5	          
D011400323	002	02	F	19	PS	F	MO	BR	5	          
D011400324	001	02	M	28	CD	F	MO	BR	5	          
D011400325	001	01	F	76	PS	F	OU	BR	5	          
D011400326	001	02	M	26	CD	F	MO	BR	5	          
D011400327	001	01	F	42	PD	F	AU	BR	3	          
D011400328	001	02	M	21	CD	F	MO	BR	3	          
D011400329	001	02	M	26	CD	F	MO	BR	5	          
D011400330	001	02	M	35	CD	F	MO	BR	3	          
D011400331	001	02	F	32	CD	F	AU	BR	5	          
D011400332	001	01	M	23	CD	F	MO	BR	5	          
D011400332	002	01	M	15	PD	F	MO	BR	8	          
D011400333	001	01	M	18	CD	F	AU	BR	7	          
D011400334	001	02	M	24	CD	F	MO	BR	3	          
D011400335	001	02	M	19	CD	F	MO	BR	3	          
D011400336	001	01	M	49	CD	F	MO	BR	7	          
D011400337	001	01	M	24	PD	F	MO	BR	5	          
D011400338	001	01	M	35	CD	F	MO	BR	5	          
D011400339	001	01	M	45	CD	F	AU	BR	5	          
D011400339	002	02	F	36	PS	F	AU	BR	5	          
D011400340	001	01	F	60	PS	F	OU	BR	7	          
D011400341	001	02	F	41	CD	F	MO	BR	7	          
D011400342	001	02	F	12	PS	F	AU	BR	3	          
D011400343	001	02	M	27	CD	F	AU	BR	8	          
D011400344	001	02	F	09	PS	F	AU	BR	1	          
D011400345	001	02	M	25	CD	F	MO	BR	8	          
D011400346	001	01	M	35	CD	F	MO	BR	8	          
D011400346	002	02	M	60	CD	F	MO	BR	8	          
D011400347	001	01	M	24	CD	F	MO	BR	2	          
D011400348	001	02	F	34	CD	F	MO	BR	4	          
D011400349	001	02	F	25	CD	F	AU	BR	5	          
D011400350	001	02	M	31	CD	F	MO	BR	5	          
D011400351	001	01	M	31	CD	F	MO	BR	3	          
D011400352	001	02	M	41	CD	F	MO	BR	5	          
D011400353	001	01	M	22	CD	F	MO	BR	5	          
D011400354	001	01	M	33	CD	F	ON	BR	5	          
D011400355	001	01	M	28	CD	F	MO	BR	3	          
D011400355	002	01	F	19	PS	F	MO	BR	8	          
D011400356	001	01	F	75	PD	F	AU	BR	3	          
D011400357	001	01	M	37	CD	F	AU	BR	5	          
D011400358	001	01	M	32	CD	F	MO	BR	5	          
D011400359	001	02	M	17	CD	F	MO	BR	3	          
D011400359	002	02	M	16	PS	F	MO	BR	3	          
D011400359	003	02	F	15	PS	F	MO	BR	3	          
D011400360	001	02	M	29	CD	F	MO	BR	3	          
D011400361	001	02	M	32	CD	F	MO	BR	5	          
D011400362	001	02	F	24	CD	F	AU	BR	5	          
D011400363	001	01	M	32	CD	F	AU	BR	5	          
D011400364	001	02	M	42	CD	F	MO	BR	7	          
D011400365	001	01	M	27	CD	F	MO	BR	3	          
D011400366	001	02	M	27	CD	F	MO	BR	5	          
D011400366	002	02	M	60	PS	F	MO	BR	8	          
D011400368	001	01	F	54	PS	F	AU	BR	4	          
D011400369	001	02	F	24	PS	F	MO	BR	5	          
D011400370	001	02	M	60	CD	F	MO	BR	5	          
D011400371	001	02	F	23	CD	F	MO	BR	5	          
D011400372	001	02	M	19	CD	F	BI	BR	7	          
D011400373	001	02	M	34	CD	F	MO	BR	4	          
D011400374	001	02	M	36	CD	F	MO	BR	5	          
D011400375	001	02	M	36	CD	F	MO	BR	3	          
D011400376	001	02	M	35	CD	F	MO	BR	7	          
D011400377	001	02	M	30	CD	F	MO	BR	8	          
D011400377	002	03	M	20	PS	F	MO	BR	3	          
D011400378	001	01	M	25	CD	F	MO	BR	8	          
D011400379	001	02	M	22	CD	F	MO	BR	3	          
D011400380	001	01	F	36	PD	F	AU	BR	7	          
D011400381	001	01	F	SI	PD	F	SI	BR	8	          
D011400382	001	01	M	29	CD	F	MO	BR	3	          
D011400383	001	01	M	35	CD	F	MO	BR	5	          
D011400384	001	01	F	53	PD	F	AU	BR	7	          
D011400385	001	02	M	39	CD	F	MO	BR	3	          
D011400385	002	02	F	24	PS	F	MO	BR	4	          
D011400386	001	01	M	53	CD	F	MO	BR	2	          
D011400387	001	01	M	23	CD	F	MO	BR	5	          
D011400388	001	01	M	34	CD	F	MO	BR	5	          
D011400389	001	01	F	53	PD	F	MO	BR	3	          
D011400390	001	01	M	77	PD	F	OU	BR	3	          
D011400391	001	01	M	47	CD	F	MO	BR	3	          
D011400392	001	02	F	41	CD	F	AU	BR	7	          
