X,Y,id_acidente,cadloga,logradouro_a,cadlogb,logradouro_b,alt_num,referencia,data,dia__semana,dia_semana,mes_acidente,hora,cod_acid,fonte,viatura,dp,talao,sentido,pista,automovel,moto,onibus,caminhao,bicicleta,moto_taxi,onibus_fretado,onibus_urbano,microonibus,van,vuc,caminhonete,carreta,jipe,outros,sem_informacao,carroca,feridos,mortos,dec,det_atz,get_atz,distrito,distrito_atz,pref_reg,folha,princ_a,princ_b,placa1,tipo_placa1,placa2,tipo_plac2,placa3,tipo_plac3,tipo_acidente,mi_prinx,LAT,LONG,MAPINFO_ID
-46.479566,-23.519951,D121701923,20176,RUA   ANTONIO OLIMPIO,2082,RUA   REPUBLICA DE SAN MARINO,0,,2017/12/13 00:00:00,4,QUARTA-FEIRA,DEZEMBRO,1899/12/30 08:30:00,4,D,,64,7079,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,LE3,LE3,LE,64,64,ERMELINO MATARAZZO,,2082,20176,,,,,,,AT,,-23.519951,-46.479566,12980
-46.772657,-23.631844,D121701924,4000,RUA   CAMPINA GRANDE,,,46,,2017/12/15 00:00:00,6,SEXTA-FEIRA,DEZEMBRO,1899/12/30 04:40:00,2,D,,37,6768,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,OE3,OE3,OE,17,17,CAMPO LIMPO,,4000,,,,,,,,CO,,-23.631844,-46.772657,12981
-46.532995,-23.523176,D121701930,954,AV   AMADOR BUENO DA VEIGA,,,1230,,2017/12/11 00:00:00,2,SEGUNDA-FEIRA,DEZEMBRO,1899/12/30 15:40:00,2,D,,10,272,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,LE1,LE1,LE,59,59,PENHA,,954,,,,,,,,QM,,-23.523176,-46.532995,12982
-46.626355,-23.551987,D121701936,6642,AV  DO ESTADO,,,0,PX TABATINGUERA,2017/12/12 00:00:00,3,TERCA-FEIRA,DEZEMBRO,1899/12/30 16:45:00,2,D,,1,8625,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CN3,CN3,CN,78,78,SE,,6642,,,,,,,,CL,,-23.551987,-46.626355,12983
-46.438021,-23.595668,D121701938,9044,AV   RAGUEB CHOHFI,,,4978,,2017/12/26 00:00:00,3,TERCA-FEIRA,DEZEMBRO,1899/12/30 01:30:00,2,D,,49,61,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SE3,SE3,SE,33,33,SAO MATEUS,,9044,,,,,,,,CT,,-23.595668,-46.438021,12984
-46.675522,-23.489217,D121701939,6450,AV DEP  EMILIO CARLOS,,,2000,,2017/12/22 00:00:00,6,SEXTA-FEIRA,DEZEMBRO,1899/12/30 16:00:00,4,D,,40,81,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,CN1,CN1,CN,50,50,CASA VERDE-CACHOEIRINHA,,6450,,,,,,,,AT,,-23.489217,-46.675522,12985
-46.593806,-23.639282,D121701949,21336,RUA   ITALO BRASIL PORTIERI,,,40,,2017/12/28 00:00:00,5,QUINTA-FEIRA,DEZEMBRO,1899/12/30 18:50:00,2,D,,83,8721,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SU1,SU1,SU,68,68,IPIRANGA,,21336,,,,,,,,CL,,-23.639282,-46.593806,12986
-46.571152,-23.580196,D121701953,16587,RUA  DA PRECE,,,226,,2017/12/25 00:00:00,2,SEGUNDA-FEIRA,DEZEMBRO,1899/12/30 04:00:00,2,D,,56,8166,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SE1,SE1,SE,93,93,VILA PRUDENTE,,16587,,,,,,,,CH,,-23.580196,-46.571152,12987
-46.588207,-23.61869,D121701957,1464,RUA   ANNY,24440,RUA   JOAO LAMAS,0,,2017/12/16 00:00:00,7,SABADO,DEZEMBRO,1899/12/30 15:30:00,2,D,,95,3910,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SE2,SE2,SE,68,68,IPIRANGA,,1464,24440,,,,,,,CV,,-23.61869,-46.588207,12988
-46.634206,-23.563249,D121701961,18618,RUA   TAMANDARE,,,428,,2017/12/12 00:00:00,3,TERCA-FEIRA,DEZEMBRO,1899/12/30 18:30:00,2,D,,5,3282,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SU1,SU1,SU,49,49,SE,,18618,,,,,,,,CL,,-23.563249,-46.634206,12989
