id_vitima	id_acidente	id_veiculo	sexo	idade	tipo_vitima	classificacao	tipo_veiculo	estado_alcoolizacao	escolaridade	data
2	D011700288	1	M	10	SI	F	AU	BR	8	NULL
3	D011700288	1	F		SI	F	AU	BR	8	NULL
4	D011700288	1	F	3	SI	F	AU	BR	8	NULL
1	D011700289	1	F	72	PD	F	MO	BR	3	NULL
1	D011700290	2	F	37	CD	F	AU	BR	7	NULL
1	D011700291	1	M	24	PD	M	AU	BR	5	01/01/2017 00:00
2	D011700291	1	F	17	PD	F	AU	BR	5	NULL
1	D011700292	1	M	38	CD	F	MO	BR	5	NULL
1	D011700293	1	M	37	CD	F	MO	BR	5	NULL
1	D011700294	1	M	21	CD	F	MO	BR	3	NULL
1	D011700295	1	M	27	CD	F	MO	BR	3	NULL
2	D011700295	1	F	22	PS	F	MO	BR	3	NULL
1	D011700296	1	M	20	CD	F	MO	BR	5	NULL
1	D011700297	1	F	56	PD	F	MO	BR	3	NULL
1	D011700298	1	M	49	CD	F	AU	BR	5	NULL
1	D011700299	1	M	27	CD	F	MO	BR	5	NULL
1	D011700300	1	M	20	CD	F	MO	BR	3	NULL
1	D011700301	1	M	52	PD	F	AU	BR	5	NULL
1	D011700302	1	M	44	CD	F	MO	BR	8	NULL
1	D011700303	1	M	40	CD	F	MO	BR	2	NULL
1	D011700304	1	M	28	CD	F	MO	BR	4	NULL
1	D011700305	1	M	23	CD	F	MO	BR	3	NULL
1	D011700306	1	M	39	CD	F	MO	BR	5	NULL
1	D011700307	1	M	24	PD	M	CA	BR	2	23/01/2017 00:00
1	D011700308	1	M		CD	F	MO	BR	8	NULL
1	D011700309	1	F	33	PD	F	AU	BR	5	NULL
1	D011700310	1	F	38	PD	F	AU	BR	3	NULL
1	D011700311	1	M	28	CD	F	MO	BR	8	NULL
1	D011700312	1	F	48	PS	F	ON	BR	3	NULL
1	D011700313	1	M	23	SI	F	MO	BR	3	NULL
1	D011700314	1	F	37	CD	F	MO	BR	5	NULL
1	D011700315	2	M	34	CD	F	BI	BR	7	NULL
1	D011700316	1	M	99	PD	F	VA	BR	3	NULL
1	D011700317	1	M	32	CD	F	MO	BR	8	NULL
1	D011700318	1	M	39	CD	F	MO	BR	3	NULL
1	D011700319	1	M	34	CD	F	MO	BR	2	NULL
2	D011700319	1	M	38	PS	F	MO	BR	3	NULL
1	D011700320	1	M	26	CD	F	MO	BR	8	NULL
1	D011700321	1	F	33	PS	F	CM	BR	5	NULL
2	D011700321	1	F	12	PS	F	CM	BR	1	NULL
3	D011700321	1	M	48	PS	F	CM	BR	5	NULL
1	D011700322	1	M	41	CD	F	MO	BR	3	NULL
1	D011700323	1	M	58	PS	F	CM	BR	8	NULL
2	D011700323	1	M	38	PS	F	CM	BR	3	NULL
3	D011700323	1	M	29	PS	F	CM	BR	3	NULL
1	D011700324	1	M	19	PD	F	SI	BR	3	NULL
1	D011700325	1	F	55	PS	F	ON	BR	3	NULL
1	D011700326	1	M	50	CD	F	MO	BR	3	NULL
1	D011700327	1	F	19	PD	F	AU	BR	8	NULL
1	D011700328	1	M	22	CD	F	AU	BR	8	NULL
1	D011700329	1	M	32	CD	F	MO	BR	5	NULL
1	D011700330	1	F	68	PD	F	AU	BR	7	NULL
1	D011700331	2	M	49	CD	F	AU	BR	4	NULL
1	D011700332	1	F	24	CD	F	MO	BR	5	NULL
1	D011700333	1	F	32	CD	F	MO	BR	5	NULL
1	D011700334	1	M	37	PS	F	AU	BR	7	NULL
2	D011700334	1	M	23	CD	F	AU	BR	6	NULL
1	D011700335	1	F	35	CD	F	AU	BR	6	NULL
1	D011700336	1	M	41	CD	F	MO	BR	3	NULL
2	D011700336	1	M	25	PS	F	MO	BR	3	NULL
1	D011700337	1	M	48	CD	M	BI	BR	2	15/01/2017 00:00
1	D011700338	1	M	27	PD	F	AU	BR	8	NULL
2	D011700338	1	F	4	PD	F	AU	BR	8	NULL
1	D011700339	1	M	53	PD	F	AU	BR	5	NULL
1	D011700340	1	M	52	CD	F	MO	BR	5	NULL
1	D011700341	1	M	52	CD	F	MO	BR	8	NULL
1	D011700342	1	M	36	PS	F	AU	BR	5	NULL
1	D011700343	1	F	61	PD	F	ON	BR	3	NULL
2	D011700344	2	M	44	PS	M	CM	SA	3	08/01/2017 00:00
1	D011700344	1	M	23	PS	F	AU	BR	3	NULL
3	D011700344	1	F	29	PS	F	AU	BR	3	NULL
4	D011700344	1	M		PS	F	AU	BR	8	NULL
5	D011700344	1	F		PS	F	AU	BR	8	NULL
6	D011700344	2	M	22	CD	F	CM	SA	3	NULL
7	D011700344	1	M	38	CD	F	AU	BR	3	NULL
1	D011700345	1	M	42	CD	F	MO	BR	5	NULL
1	D011700346	1	F	44	CD	F	ON	BR	3	NULL
1	D011700347	2	M	32	CD	F	MO	SA	5	NULL
1	D011700348	1	F	32	CD	F	MO	BR	7	NULL
2	D011700348	2	M	20	CD	F	MO	BR	5	NULL
1	D011700349	1	M	22	CD	F	MO	BR	3	NULL
1	D011700350	1	M	61	PD	F	AU	BR	3	NULL
1	D011700351	2	F	33	CD	F	AU	BR	5	NULL
2	D011700351	2	F	3	PS	F	AU	BR	8	NULL
3	D011700351	2	F	3	PS	F	AU	BR	8	NULL
1	D011700352	1	M	22	CD	F	MO	BR	3	NULL
2	D011700352	1	F	19	PS	F	MO	BR	8	NULL
1	D011700353	2	M	34	CD	F	MO	BR	3	NULL
1	D011700354	1	M	29	PS	F	AU	BR	5	NULL
2	D011700354	1	M	19	PS	F	AU	BR	5	NULL
3	D011700354	1	F	44	PD	F	AU	BR	3	NULL
1	D011700355	1	M	36	CD	F	MO	BR	3	NULL
1	D011700356	1	M	22	CD	F	MO	BR	5	NULL
1	D011700357	2	M	49	CD	F	BI	BR	7	NULL
1	D011700358	1	F	76	PD	F	CM	BR	5	NULL
1	D011700359	1	M	23	CD	F	MO	BR	5	NULL
1	D011700360	1	M	18	CD	F	MO	BR	5	NULL
1	D011700361	2	F	29	PD	F	AU	BR	5	NULL
1	D011700362	1	M	26	CD	F	AU	BR	5	NULL
1	D011700363	1	F	31	CD	F	MO	BR	5	NULL
1	D011700364	1	M	36	CD	F	MO	BR	5	NULL
1	D011700365	1	F	20	PS	F	MO	BR	5	NULL
1	D011700366	1	M	22	PS	F	AU	BR	5	NULL
2	D011700366	1	M	30	CD	F	AU	AA	3	NULL
